2023-03-29 09:57:34,739  INFO [main] - Start cleanup annotation of documents ...
2023-03-29 09:57:35,077  INFO [main] - Total 1 annotation(s) removed from document 85204396, {05141DAC-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:35,112  INFO [main] - Total 1 annotation(s) removed from document 85204396, {109F3986-0600-C5B0-B588-A081ECE4D5A4}
2023-03-29 09:57:35,145  INFO [main] - Total 1 annotation(s) removed from document 85204413, {05141DBD-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:35,165  INFO [main] - Total 1 annotation(s) removed from document 85204413, {109F3986-0800-C7C2-8BE9-07EE317652E1}
2023-03-29 09:57:35,221  INFO [main] - Total 2 annotation(s) removed from document 86028244, {0520AFD4-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:35,264  INFO [main] - Total 2 annotation(s) removed from document 86028244, {A0AE3986-0100-C976-94C5-78A796F0DF35}
2023-03-29 09:57:35,308  INFO [main] - Total 1 annotation(s) removed from document 86732843, {052B702B-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:35,331  INFO [main] - Total 1 annotation(s) removed from document 86732843, {705C3986-0A00-C307-A5D6-8FBCE83DCFF5}
2023-03-29 09:57:35,363  INFO [main] - Total 1 annotation(s) removed from document 86999358, {052F813E-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:35,456  INFO [main] - Total 1 annotation(s) removed from document 86999358, {20243A86-0700-C698-AA19-9185C8D11191}
2023-03-29 09:57:35,484  INFO [main] - Total 1 annotation(s) removed from document 87066484, {80533A86-0900-C0AF-8176-51008C13AFAC}
2023-03-29 09:57:35,516  INFO [main] - Total 1 annotation(s) removed from document 87066484, {05308774-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:35,733  INFO [main] - Total 9 annotation(s) removed from document 87162198, {0531FD56-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:35,876  INFO [main] - Total 9 annotation(s) removed from document 87162198, {A0963A86-0700-C517-9038-EB1C5E90D692}
2023-03-29 09:57:35,912  INFO [main] - Total 1 annotation(s) removed from document 87394626, {603E3B86-0300-C286-947F-5CEFAE3FC65F}
2023-03-29 09:57:35,946  INFO [main] - Total 1 annotation(s) removed from document 87394626, {05358942-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:35,986  INFO [main] - Total 1 annotation(s) removed from document 88890468, {054C5C64-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:36,008  INFO [main] - Total 1 annotation(s) removed from document 88890468, {D0C73A86-0C00-C360-9A25-105E8D2B8D10}
2023-03-29 09:57:36,038  INFO [main] - Total 1 annotation(s) removed from document 89747865, {C0A33A86-0700-CBD2-A98F-48F5656AF0B0}
2023-03-29 09:57:36,150  INFO [main] - Total 1 annotation(s) removed from document 89747865, {05597199-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:36,204  INFO [main] - Total 1 annotation(s) removed from document 90067080, {F0903B86-0000-CBDE-B11C-C5A3205E5E33}
2023-03-29 09:57:36,238  INFO [main] - Total 1 annotation(s) removed from document 90067080, {055E5088-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:36,613  INFO [main] - Total 14 annotation(s) removed from document 90302694, {80863986-0700-CFC6-BF03-C419B22DF3F5}
2023-03-29 09:57:37,119  INFO [main] - Total 14 annotation(s) removed from document 90302694, {0561E8E6-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:37,197  INFO [main] - Total 3 annotation(s) removed from document 90302710, {90863986-0200-C5D0-8880-1E54721C9C38}
2023-03-29 09:57:37,262  INFO [main] - Total 3 annotation(s) removed from document 90302710, {0561E8F6-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:37,325  INFO [main] - Total 1 annotation(s) removed from document 90846585, {056A3579-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:37,352  INFO [main] - Total 1 annotation(s) removed from document 90846585, {90243B86-0600-C6B6-B32A-B900E6316B22}
2023-03-29 09:57:37,414  INFO [main] - Total 2 annotation(s) removed from document 91356900, {0571FEE4-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:37,451  INFO [main] - Total 2 annotation(s) removed from document 91356900, {D04D3A86-0300-C4AC-AF4C-8868AC3E65B8}
2023-03-29 09:57:37,499  INFO [main] - Total 2 annotation(s) removed from document 91356903, {0571FEE7-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:37,642  INFO [main] - Total 2 annotation(s) removed from document 91356903, {D04D3A86-0400-CAF3-92DE-76AF37103BDB}
2023-03-29 09:57:37,761  INFO [main] - Total 6 annotation(s) removed from document 91877056, {507C3986-0800-C305-B276-67E85A2B03C4}
2023-03-29 09:57:37,948  INFO [main] - Total 6 annotation(s) removed from document 91877056, {0579EEC0-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:38,100  INFO [main] - Total 6 annotation(s) removed from document 91877059, {607C3986-0000-CDEA-80D6-45C242F852D3}
2023-03-29 09:57:38,247  INFO [main] - Total 6 annotation(s) removed from document 91877059, {0579EEC3-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:38,328  INFO [main] - Total 2 annotation(s) removed from document 92304490, {0580746A-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:38,394  INFO [main] - Total 2 annotation(s) removed from document 92304490, {70BE3A86-0200-C3D6-AB9F-B13485A6C8EB}
2023-03-29 09:57:38,662  INFO [main] - Total 8 annotation(s) removed from document 92575799, {05849837-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:38,791  INFO [main] - Total 8 annotation(s) removed from document 92575799, {E03E1A86-0700-C81B-A859-3ECD7184DC46}
2023-03-29 09:57:38,824  INFO [main] - Total 1 annotation(s) removed from document 93283052, {102F1C86-0000-CF47-BE43-12F7734E3275}
2023-03-29 09:57:38,871  INFO [main] - Total 1 annotation(s) removed from document 93283052, {058F62EC-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:38,905  INFO [main] - Total 1 annotation(s) removed from document 93891379, {F0BB1B86-0D00-CEA7-AE75-B64C2978BC96}
2023-03-29 09:57:38,945  INFO [main] - Total 1 annotation(s) removed from document 93891379, {0598AB33-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:39,003  INFO [main] - Total 3 annotation(s) removed from document 94212215, {D0811A86-0C00-C645-91F5-75D606322B02}
2023-03-29 09:57:39,121  INFO [main] - Total 3 annotation(s) removed from document 94212215, {059D9077-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:39,254  INFO [main] - Total 5 annotation(s) removed from document 95150685, {05ABE25D-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:39,387  INFO [main] - Total 5 annotation(s) removed from document 95150685, {10001B86-0A00-CF79-A3EC-0AB7629F5C28}
2023-03-29 09:57:39,447  INFO [main] - Total 2 annotation(s) removed from document 95278236, {05ADD49C-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:39,487  INFO [main] - Total 2 annotation(s) removed from document 95278236, {305A1B86-0600-C9CC-BAC9-B311EB1C1F1C}
2023-03-29 09:57:39,693  INFO [main] - Total 6 annotation(s) removed from document 95435871, {05B03C5F-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:39,785  INFO [main] - Total 6 annotation(s) removed from document 95435871, {40C61B86-0D00-C897-9481-8D688EEE4BBB}
2023-03-29 09:57:39,821  INFO [main] - Total 1 annotation(s) removed from document 95878749, {05B6FE5D-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:39,852  INFO [main] - Total 1 annotation(s) removed from document 95878749, {E0DB1A86-0700-CE7C-AB90-EB3E86961701}
2023-03-29 09:57:39,882  INFO [main] - Total 1 annotation(s) removed from document 96277588, {10FC1B86-0A00-C262-A2D3-A9E499130841}
2023-03-29 09:57:39,910  INFO [main] - Total 1 annotation(s) removed from document 96277588, {05BD1454-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:40,133  INFO [main] - Total 8 annotation(s) removed from document 96906212, {05C6ABE4-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:40,243  INFO [main] - Total 8 annotation(s) removed from document 96906212, {C0BB1B86-0500-CF13-82E8-AC4C9966D1D1}
2023-03-29 09:57:40,393  INFO [main] - Total 5 annotation(s) removed from document 96906403, {05C6ACA3-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:40,470  INFO [main] - Total 5 annotation(s) removed from document 96906403, {E0BB1B86-0700-CB81-A7A2-3B4D594AE771}
